model	objective	gene	status	value
./model.xml	obj	G_WP_086890632_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890633_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890634_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890636_1	optimal	77.49506291513418
./model.xml	obj	G_WP_086890639_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890644_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890645_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890646_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890647_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890651_1	optimal	77.49506291513347
./model.xml	obj	G_WP_086890654_1	optimal	71.2430675575968
./model.xml	obj	G_WP_086890657_1	optimal	77.49506291513433
./model.xml	obj	G_WP_086890658_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890662_1	optimal	61.153805936704074
./model.xml	obj	G_WP_086890663_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890669_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890670_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890677_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890679_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890680_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890681_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890682_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890687_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890695_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890697_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890699_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890700_1	optimal	77.49506291513433
./model.xml	obj	G_WP_086890701_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890702_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890706_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890707_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890709_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890715_1	optimal	77.49506291513416
./model.xml	obj	G_WP_086890718_1	optimal	3.796024535992455e-13
./model.xml	obj	G_WP_086890719_1	optimal	3.796024535992455e-13
./model.xml	obj	G_WP_086890722_1	optimal	77.49506291513438
./model.xml	obj	G_WP_086890725_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890727_1	optimal	77.49506291513417
./model.xml	obj	G_WP_086890728_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890730_1	optimal	77.18019050101834
./model.xml	obj	G_WP_086890745_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890746_1	optimal	77.49506291513417
./model.xml	obj	G_WP_086890747_1	optimal	0.0
./model.xml	obj	G_WP_086890748_1	optimal	77.49506291513433
./model.xml	obj	G_WP_086890749_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890752_1	optimal	0.0
./model.xml	obj	G_WP_086890755_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890757_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890758_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890759_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890760_1	optimal	0.0
./model.xml	obj	G_WP_086890763_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890765_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890767_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890768_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890769_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890770_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890773_1	optimal	60.98705524093892
./model.xml	obj	G_WP_086890779_1	optimal	77.49506291513437
./model.xml	obj	G_WP_086890780_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890781_1	optimal	-4.835400644524375e-14
./model.xml	obj	G_WP_086890783_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890785_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890786_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890790_1	optimal	7.815937370689441e-11
./model.xml	obj	G_WP_086890791_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890792_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890794_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890800_1	optimal	0.0
./model.xml	obj	G_WP_086890803_1	optimal	77.49506291513418
./model.xml	obj	G_WP_086890807_1	optimal	77.49506291513347
./model.xml	obj	G_WP_086890809_1	optimal	77.49506291513347
./model.xml	obj	G_WP_086890814_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890815_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890816_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890819_1	optimal	77.49506291517336
./model.xml	obj	G_WP_086890820_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890826_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890827_1	optimal	77.4950629151342
./model.xml	obj	G_WP_086890833_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890836_1	optimal	77.49506291513434
./model.xml	obj	G_WP_086890848_1	optimal	77.49506291513418
./model.xml	obj	G_WP_086890850_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890853_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890854_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890857_1	optimal	74.01443332010648
./model.xml	obj	G_WP_086890861_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890866_1	optimal	77.4950629151338
./model.xml	obj	G_WP_086890867_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890870_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890871_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890872_1	optimal	77.49506291513424
./model.xml	obj	G_WP_086890874_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890888_1	optimal	77.49506291513349
./model.xml	obj	G_WP_086890889_1	optimal	77.49506291513426
./model.xml	obj	G_WP_086890892_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890893_1	optimal	77.49506291513437
./model.xml	obj	G_WP_086890894_1	optimal	1.2320088761026697e-07
./model.xml	obj	G_WP_086890896_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890902_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890903_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890914_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890915_1	optimal	77.49506291513427
./model.xml	obj	G_WP_086890916_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890920_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890921_1	optimal	77.4950629151341
./model.xml	obj	G_WP_086890923_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890926_1	optimal	77.49506291513428
./model.xml	obj	G_WP_086890927_1	optimal	77.49506291513435
./model.xml	obj	G_WP_086890932_1	optimal	77.49506291513434
./model.xml	obj	G_WP_086890941_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086890949_1	optimal	77.49506291513418
./model.xml	obj	G_WP_086890954_1	optimal	77.49506291513431
./model.xml	obj	G_WP_086890992_1	optimal	77.4950629151341
./model.xml	obj	G_WP_086890995_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086891004_1	optimal	77.49506291513349
./model.xml	obj	G_WP_086891010_1	optimal	77.4950629151343
./model.xml	obj	G_WP_086891023_1	optimal	77.49506291513349
./model.xml	obj	G_WP_086891026_1	optimal	77.49506291513413
./model.xml	obj	G_WP_086891027_1	optimal	77.49506291513413
./model.xml	obj	G_WP_086891028_1	optimal	77.49506291513411
